screen_name,name,account_created,tweets,following,followers
Qualcomm,Qualcomm,8 years ago,9409,12803,386501
PNBMetlife1,PNB MetLife,3 years ago,9410,302,90938
MLStadium,MetLife Stadium,8 years ago,14069,1648,38381
Porsche,Porsche,9 years ago,4021,1418,1688795
Lamborghini,Lamborghini,7 years ago,6409,1069,1743045
Bugatti,Bugatti,6 years ago,335,248,487791
Maserati_HQ,Maserati,7 years ago,6918,1071,955258
BentleyMotors,Bentley Motors,8 years ago,3267,128,970157
MercedesAMG,Mercedes-AMG,9 years ago,10161,292,1008479
MercedesBenz,Mercedes-Benz,9 years ago,53294,697,2897968
Cadbury_SA,Cadbury Dairy Milk,6 years ago,5858,420,47441
CadburyUK,Cadbury UK,8 years ago,57649,5578,296841
CadburyIreland,Cadbury Ireland,6 years ago,6560,1226,46186
DairyMilkIn,Cadbury Dairy Milk,6 years ago,219,436,100013
CadburyWorld,Cadbury World,8 years ago,36137,796,53574
PorscheRaces,Porsche Motorsport,4 years ago,25275,174,556776
CadburyAU,Cadbury Australia,8 years ago,8278,3451,15221
PorscheRetail,Porsche Retail Group,5 years ago,24025,3908,26839
PorscheGB,Porsche GB,6 years ago,7763,1484,39685
Purina,Purina,7 years ago,119123,356,57353
PorscheNewsroom,Porsche Newsroom,4 years ago,11744,115,532420
PurinaCatChow,Purina Cat Chow,7 years ago,18821,971,56720
CanonUSA,Canon USA Corp.,5 years ago,3559,105,171388
dogchow,Purina Dog Chow,6 years ago,2155,1087,8603
PurinaONEdog,Purina ONE Dog,7 years ago,3583,71,23472
NorwestVP,Norwest,9 years ago,8813,1763,23449
QuickenLoans,Quicken Loans,10 years ago,56443,596,41199
CanonUSAimaging,Canon USA Imaging,5 years ago,54742,87,198110
NespressoUSA,Nespresso USA,9 years ago,25374,2778,44015
Nespresso,Nespresso Global,9 years ago,44097,7212,90678
Twitter,Twitter,11 years ago,7001,144,55289407
LGUSAMobile,LG USA Mobile,7 years ago,32379,1063,319806
TwitterBusiness,Twitter Business,8 years ago,11569,196,1003890
BMWGroup,BMW Group,8 years ago,5148,191,554799
BMWUSA,BMW USA,8 years ago,12074,841,531417
BMW,BMW,5 years ago,27135,72,1695624
EmbassySuites,Embassy Suites,9 years ago,16997,9521,53888
OnStar,OnStar,9 years ago,20664,4145,27652
marcus,Marcus by Goldman Sachs,about a year ago,168,24,2158
scottproducts,Scott,4 years ago,2529,70,10018
LibertyB2B,Liberty Mutual B2B,10 years ago,6616,355,45865
NintendoAmerica,Nintendo of America,11 years ago,15520,274,9432374
Pokemon,Pok̩mon,8 years ago,89411,9,5162592
Xbox,Xbox,9 years ago,229964,17238,12861044
Gillette,Gillette,9 years ago,25673,658,103660
AskCapitalOne,Capital One,8 years ago,224085,21354,94613
RockstarGames,Rockstar Games,9 years ago,15846,1234,9303766
Ubisoft,Ubisoft,10 years ago,36081,736,7101312
IGN,IGN,9 years ago,106715,885,6881782
DawnDish,Dawn,8 years ago,2471,1391,15758
