fortune_rank_2018,company_name,twitter_handle_&_link,press_contact,ticker_symbol,ceo_name,ceo_title,sector,industry,hq_location,website,years_on_fortune_list
239,Guardian Life Ins. Co. of America,@guardianlife,,,Deanna M. Mulligan,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (Mutual)",New York City,http://www.guardianlife.com,24
240,Stryker,@stryker_jobs,,SYK,Kevin A. Lobo,Chairman & Chief Executive Officer,Health Care,Medical Products and Equipment,"Kalamazoo, Mich.",http://www.stryker.com,16
241,Jefferies Financial Group,@jefferiesevents,,JEF,Richard B. Handler,Chairman & Chief Executive Officer,Financials,Diversified Financials,New York City,http://www.jefferies.com,6
242,VF,@vfcorp,,VFC,Steven E. Rendle,"Chairman, President & Chief Executive Officer",Apparel,Apparel,"Greensboro, N.C.",http://www.vfc.com,24
243,ADP,@ADP,,ADP,Carlos A. Rodriguez,"President, Chief Executive Officer & Director",Business Services,Diversified Outsourcing Services,"Roseland, N.J.",http://www.adp.com,24
244,Edison International,@edisonintl,,EIX,Pedro J. Pizarro,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,"Rosemead, Calif.",http://www.edisoninvestor.com,24
245,Biogen,@biogen,,BIIB,Michel Vounatsos,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,"Cambridge, Mass.",http://www.biogen.com,9
246,United States Steel,@U_S_Steel,,X,David B. Burritt,"President, Chief Executive Officer & Director",Materials,Metals,Pittsburgh,http://www.ussteel.com,16
247,Core-Mark Holding,@CoreMarkHQ,,CORE,Thomas B. Perkins,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Food and Grocery,"South San Francisco, Calif.",http://www.core-mark.com,9
248,Bed Bath & Beyond,@BedBathBeyond,,BBBY,Steven H. Temares,Chief Executive Officer & Director,Retailing,Specialty Retailers: Other,"Union, N.J.",http://www.bedbathandbeyond.com,15
249,Oneok,n/a,,OKE,Terry K. Spencer,"President, Chief Executive Officer & Director",Energy,Pipelines,"Tulsa, Okla.",http://www.oneok.com,16
250,BB&T Corp.,@askBBT,,BBT,Kelly S. King,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Winston-Salem, N.C.",http://www.bbt.com,20
251,Becton Dickinson,@bdandco,,BDX,Vincent A. Forlenza,Chairman & Chief Executive Officer,Health Care,Medical Products and Equipment,"Franklin Lakes, N.J.",http://www.bd.com,24
252,Ameriprise Financial,@ameriprise,,AMP,James M. Cracchiolo,Chairman & Chief Executive Officer,Financials,Diversified Financials,Minneapolis,http://www.ameriprise.com,12
