fortune_rank_2018,company_name,twitter_handle_&_link,press_contact,ticker_symbol,ceo_name,ceo_title,sector,industry,hq_location,website,years_on_fortune_list
1,Walmart,@walmart,,WMT,C. Douglas McMillon,"President, Chief Executive Officer & Director",Retailing,General Merchandisers,"Bentonville, Ark.",http://www.stock.walmart.com,24
2,Exxon Mobil,@exxonmobil,,XOM,Darren W. Woods,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"Irving, Texas",http://www.exxonmobil.com,24
3,Berkshire Hathaway,n/a ,,BRK.A,Warren E. Buffett,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),Omaha,http://www.berkshirehathaway.com,24
4,Apple,@apple,,AAPL,Timothy D. Cook,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","Cupertino, Calif.",http://www.apple.com,24
5,UnitedHealth Group,@UnitedHealthGrp,,UNH,David S. Wichmann,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, Minn.",http://www.unitedhealthgroup.com,24
6,McKesson,@McKesson,,MCK,John H. Hammergren,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,San Francisco,http://www.mckesson.com,24
7,CVS Health,@cvspharmacy,,CVS,Larry J. Merlo,"President, Chief Executive Officer & Director",Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, R.I.",http://www.cvshealth.com,24
8,Amazon.com,@amazon,,AMZN,Jeffrey P. Bezos,"Chairman, President & Chief Executive Officer",Retailing,Internet Services and Retailing,Seattle,http://www.amazon.com,17
9,AT&T,@ATT,,T,Randall L. Stephenson,"Chairman, President & Chief Executive Officer",Telecommunications,Telecommunications,Dallas,http://www.att.com,24
10,General Motors,@gm,,GM,Mary T. Barra,Chairman & Chief Executive Officer,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,http://www.gm.com,24
11,Ford Motor,@Ford,,F,James P. Hackett,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, Mich.",http://www.corporate.ford.com,24
12,AmerisourceBergen,@healthcare_abc,,ABC,Steven H. Collis,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,"Chesterbrook, Pa.",http://www.amerisourcebergen.com,24
13,Chevron,@chevron,,CVX,Michael K. Wirth,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"San Ramon, Calif.",http://www.chevron.com,24
14,Cardinal Health,@cardinalhealth,,CAH,Michael C. Kaufmann,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Health Care,"Dublin, Ohio",http://www.cardinalhealth.com,24
15,Costco,@costco,,COST,W. Craig Jelinek,"President, Chief Executive Officer & Director",Retailing,General Merchandisers,"Issaquah, Wash.",http://www.costco.com,24
16,Verizon,@verizon,,VZ,Lowell C. McAdam,Chairman & Chief Executive Officer,Telecommunications,Telecommunications,New York City,http://www.verizon.com,24
17,Kroger,@kroger,,KR,W. Rodney McMullen,Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,Cincinnati,http://www.thekrogerco.com,24
18,General Electric,@generalelectric,,GE,John L. Flannery Jr.,Chairman & Chief Executive Officer,Industrials,Industrial Machinery,Boston,http://www.ge.com,24
19,Walgreens Boots Alliance,n/a ,,WBA,Stefano Pessina,Vice Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,"Deerfield, Ill.",http://www.walgreensbootsalliance.com,24
20,JPMorgan Chase,@JPMorgan,,JPM,James Dimon,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.jpmorganchase.com,24
21,Fannie Mae,@fanniemae,,FNMA,Timothy J. Mayopoulos,"President, Chief Executive Officer & Director",Financials,Diversified Financials,Washington,http://www.fanniemae.com,21
22,Alphabet,n/a ,,GOOGL,Larry Page,Chief Executive Officer & Director,Technology,Internet Services and Retailing,"Mountain View, Calif.",http://www.abc.xyz,13
23,Home Depot,@HomeDepot,,HD,Craig A. Menear,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Other,Atlanta,http://www.homedepot.com,24
24,Bank of America Corp.,@bankofamerica,,BAC,Brian T. Moynihan,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,"Charlotte, N.C.",http://www.bankofamerica.com,24
25,Express Scripts Holding,@expressscripts,,ESRX,Timothy C. Wentworth,"President, Chief Executive Officer & Director",Health Care,Health Care: Pharmacy and Other Services,St. Louis,http://www.express-scripts.com,19
26,Wells Fargo,@wellsfargo,,WFC,Timothy J. Sloan,"President, Chief Executive Officer & Director",Financials,Commercial Banks,San Francisco,http://www.wellsfargo.com,24
27,Boeing,@Boeing,,BA,Dennis A. Muilenburg,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,Chicago,http://www.boeing.com,24
28,Phillips,@Phillips66Co,,PSX,Greg C. Garland,Chairman & Chief Executive Officer,Energy,Petroleum Refining,Houston,http://www.phillips66.com,6
29,Anthem,@AnthemInc,,ANTM,Gail K. Boudreaux,"President, Chief Executive Officer & Director",Health Care,Health Care: Insurance and Managed Care,Indianapolis,http://www.antheminc.com,24
30,Microsoft,@microsoft,,MSFT,Satya Nadella,Chief Executive Officer & Director,Technology,Computer Software,"Redmond, Wash.",http://www.microsoft.com,24
31,Valero Energy,n/a ,,VLO,Joseph W. Gorder,"Chairman, President & Chief Executive Officer",Energy,Petroleum Refining,San Antonio,http://www.valero.com,20
32,Citigroup,@citi,,C,Michael L. Corbat,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.citigroup.com,24
33,Comcast,@comcast,,CMCSA,Brian L. Roberts,"Chairman, President & Chief Executive Officer",Telecommunications,Telecommunications,Philadelphia,http://www.comcastcorporation.com,23
34,IBM,@ibm,,IBM,Virginia M. Rometty,"Chairman, President & Chief Executive Officer",Technology,Information Technology Services,"Armonk, N.Y.",http://www.ibm.com,24
35,Dell Technologies,@dell,,,Michael S. Dell,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","Round Rock, Texas",http://www.delltechnologies.com,21
36,State Farm Insurance Cos.,@statefarm,,,Michael L. Tipsord,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),"Bloomington, Ill.",http://www.statefarm.com,24
37,Johnson & Johnson,@jnjnews,,JNJ,Alex Gorsky,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,"New Brunswick, N.J.",http://www.jnj.com,24
38,Freddie Mac,@freddiemac,,FMCC,Donald H. Layton,Chairman & Chief Executive Officer,Financials,Diversified Financials,"McLean, Va.",http://www.freddiemac.com,21
39,Target,@Target,,TGT,Brian C. Cornell,Chairman & Chief Executive Officer,Retailing,General Merchandisers,Minneapolis,http://www.target.com,24
40,Lowe’s,@lowes,,LOW,Robert A. Niblock,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Other,"Mooresville, N.C.",http://www.lowes.com,24
41,Marathon Petroleum,@marathonpetroco,,MPC,Gary R. Heminger,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"Findlay, Ohio",http://www.marathonpetroleum.com,7
42,Procter & Gamble,@proctergamble,,PG,David S. Taylor,"Chairman, President & Chief Executive Officer",Household Products,Household and Personal Products,Cincinnati,http://www.pg.com,24
43,MetLife,@metlife,,MET,Steven A. Kandarian,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",New York City,http://www.metlife.com,24
44,UPS,@ups,,UPS,David P. Abney,Chairman & Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",Atlanta,http://www.ups.com,24
45,PepsiCo,@pepsi,,PEP,Indra K. Nooyi,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, N.Y.",http://www.pepsico.com,24
46,Intel,@intel,,INTC,Brian M. Krzanich,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",http://www.intel.com,24
47,DowDuPont,@dowchemical,,DWDP,Edward D. Breen,Chief Executive Officer,Chemicals,Chemicals,"Midland, Mich.",www.dow-dupont.com,24
48,Archer Daniels Midland,@admupdates,,ADM,Juan R. Luciano,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Production,Chicago,http://www.adm.com,24
49,Aetna,@Aetna,,AET,Mark T. Bertolini,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,"Hartford, Conn.",http://www.aetna.com,18
50,FedEx,@FedEx,,FDX,Frederick W. Smith,Chairman & Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",Memphis,http://www.fedex.com,24
51,United Technologies,@UTC,,UTX,Gregory J. Hayes,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Farmington, Conn.",http://www.utc.com,24
52,Prudential Financial,@pfglender,,PRU,John R. Strangfeld,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","Newark, N.J.",http://www.prudential.com,24
53,Albertsons Cos.,@Albertsons,,,Robert G. Miller,Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,"Boise, Idaho",http://www.albertsons.com,14
54,Sysco,@Sysco,,SYY,Thomas L. Bene,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Food and Grocery,Houston,http://www.sysco.com,24
55,Disney,@Disney,,DIS,Robert A. Iger,Chairman & Chief Executive Officer,Media,Entertainment,"Burbank, Calif.",http://www.disney.com,24
56,Humana,@Humana,,HUM,Bruce D. Broussard,"President, Chief Executive Officer & Director",Health Care,Health Care: Insurance and Managed Care,"Louisville, Ky.",http://www.humana.com,24
57,Pfizer,@pfizer,,PFE,Ian C. Read,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,New York City,http://www.pfizer.com,24
58,HP,@hp,,HPQ,Dion J. Weisler,"President, Chief Executive Officer & Director",Technology,"Computers, Office Equipment","Palo Alto, Calif.",http://www.hp.com,24
59,Lockheed Martin,@LockheedMartin,,LMT,Marillyn A. Hewson,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Bethesda, Md.",http://www.lockheedmartin.com,24
60,AIG,@AIGinsurance,,AIG,Brian Duperreault,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.aig.com,24
61,Centene,@centene,,CNC,Michael F. Neidorff,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,St. Louis,http://www.centene.com,9
62,Cisco Systems,@cisco,,CSCO,Charles H. Robbins,Chairman & Chief Executive Officer,Technology,Network and Other Communications Equipment,"San Jose, Calif.",http://www.cisco.com,22
63,HCA Healthcare,@hcahealthcare,,HCA,R. Milton Johnson,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,Nashville,www.hcahealthcare.com,24
64,Energy Transfer Equity,n/a ,,ETE,John W. McReynolds,President & Director,Energy,Pipelines,Dallas,http://www.energytransfer.com,12
65,Caterpillar,@CaterpillarInc,,CAT,D. James Umpleby III,Chairman & Chief Executive Officer,Industrials,Construction and Farm Machinery,"Deerfield, Ill.",http://www.caterpillar.com,24
66,Nationwide,@Nationwide,,,Stephen S. Rasmussen,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),"Columbus, Ohio",http://www.nationwide.com,24
67,Morgan Stanley,@MorganStanley,,MS,James P. Gorman,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.morganstanley.com,24
68,Liberty Mutual Insurance Group,@libertymutual,,,David H. Long,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),Boston,http://www.libertymutual.com,24
69,New York Life Insurance,@NewYorkLife,,,Theodore A. Mathas,Chairman & Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",New York City,http://www.newyorklife.com,24
70,Goldman Sachs Group,@GoldmanSachs,,GS,Lloyd C. Blankfein,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.gs.com,19
71,American Airlines Group,@AmericanAir,,AAL,W. Douglas Parker,Chairman & Chief Executive Officer,Transportation,Airlines,Fort Worth,http://www.aa.com,24
72,Best Buy,@BestBuy,,BBY,Hubert B. Joly,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Richfield, Minn.",http://www.bestbuy.com,24
73,Cigna,@cigna,,CI,David M. Cordani,"President, Chief Executive Officer & Director",Health Care,Health Care: Insurance and Managed Care,"Bloomfield, Conn.",http://www.cigna.com,24
74,Charter Communications,@CharterTMs,,CHTR,Thomas M. Rutledge,Chairman & Chief Executive Officer,Telecommunications,Telecommunications,"Stamford, Conn.",http://www.charter.com,18
75,Delta Air Lines,@delta,,DAL,Edward H. Bastian,Chairman & Chief Executive Officer,Transportation,Airlines,Atlanta,http://www.delta.com,24
76,Facebook,@Facebook,,FB,Mark Zuckerberg,Chairman & Chief Executive Officer,Technology,Internet Services and Retailing,"Menlo Park, Calif.",http://www.facebook.com,6
77,Honeywell International,@honeywell,,HON,Darius Adamczyk,"President, Chief Executive Officer & Director",Industrials,"Electronics, Electrical Equip.","Morris Plains, N.J.",http://www.honeywell.com,24
78,Merck,@Merck,,MRK,Kenneth C. Frazier,"Chairman, President & Chief Executive Officer",Health Care,Pharmaceuticals,"Kenilworth, N.J.",http://www.merck.com,24
79,Allstate,@Allstate,,ALL,Thomas J. Wilson,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),"Northbrook, Ill.",http://www.allstate.com,23
80,Tyson Foods,@tysonfoods,,TSN,Thomas P. Hayes,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Production,"Springdale, Ark.",http://www.tysonfoods.com,24
81,United Continental Holdings,@united,,UAL,Oscar Munoz,Chairman & Chief Executive Officer,Transportation,Airlines,Chicago,http://www.united.com,24
82,Oracle,@Oracle,,ORCL,Safra A. Catz/Mark V. Hurd,Co-Chief Executive Officer & Director,Technology,Computer Software,"Redwood City, Calif.",http://www.oracle.com,23
83,Tech Data (Twitter Image),@tech_data,,TECD,Richard T. Hume,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, Fla.",http://www.techdata.com,24
84,TIAA,@tiaa,,,Roger W. Ferguson Jr.,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (Mutual)",New York City,http://www.tiaa.org,21
85,TJX,@tjmaxx,,TJX,Ernie L. Herrman,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Apparel,"Framingham, Mass.",http://www.tjx.com,24
86,American Express,@AmericanExpress,,AXP,Stephen J. Squeri,Chairman & Chief Executive Officer,Financials,Diversified Financials,New York City,http://www.americanexpress.com,24
87,Coca-Cola,@cocacola,,KO,James R. Quincey,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Beverages,Atlanta,http://www.coca-colacompany.com,24
88,Publix Super Markets,@Publix,,,Randall T. Jones Sr.,"President, Chief Executive Officer & Director",Food & Drug Stores,Food and Drug Stores,"Lakeland, Fla.",http://www.publix.com,24
89,Nike,@Nike,,NKE,Mark G. Parker,"Chairman, President & Chief Executive Officer",Apparel,Apparel,"Beaverton, Ore.",http://www.nike.com,24
90,Andeavor,@andeavor,,ANDV,Gregory J. Goff,"Chairman, President & Chief Executive Officer",Energy,Petroleum Refining,San Antonio,www.andeavor.com,19
91,World Fuel Services,n/a ,,INT,Michael J. Kasbar,Chairman & Chief Executive Officer,Energy,Energy,Miami,http://www.wfscorp.com,14
92,Exelon,@Exelon,,EXC,Christopher M. Crane,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,Chicago,http://www.exeloncorp.com,24
93,Massachusetts Mutual Life Insurance,@massmutual,,,Roger W. Crandall,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)","Springfield, Mass.",http://www.massmutual.com,24
94,Rite Aid,@riteaid,,RAD,John T. Standley,Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,"Camp Hill, Pa.",http://www.riteaid.com,24
95,ConocoPhillips,@conocophillips,,COP,Ryan M. Lance,Chairman & Chief Executive Officer,Energy,"Mining, Crude-Oil Production",Houston,http://www.conocophillips.com,24
96,CHS,@CHSTalentScout,,,Jay D. Debertin,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, Minn.",http://www.chsinc.com,19
97,M,@3M,,MMM,Inge G. Thulin,"Chairman, President & Chief Executive Officer",Industrials,Miscellaneous,"St. Paul, Minn.",http://www.3m.com,24
98,Time Warner,@WarnerMediaGrp,,TWX,Jeffrey L. Bewkes,Chairman & Chief Executive Officer,Media,Entertainment,New York City,http://www.timewarner.com,19
99,General Dynamics,@gendyn_it,,GD,Phebe N. Novakovic,Chairman & Chief Executive Officer,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",http://www.generaldynamics.com,24
100,USAA,@usaa,,,Stuart Parker,Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),San Antonio,http://www.usaa.com,24
101,Capital One Financial,@capitalone,,COF,Richard D. Fairbank,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,"McLean, Va.",http://www.capitalone.com,19
102,Deere,@JohnDeere,,DE,Samuel R. Allen,"Chairman, President & Chief Executive Officer",Industrials,Construction and Farm Machinery,"Moline, Ill.",http://www.johndeere.com,24
103,INTL FCStone,@intlfcstone,,INTL,Sean M. O'Connor,"President, Chief Executive Officer & Director",Financials,Diversified Financials,New York City,http://www.intlfcstone.com,10
104,Northwestern Mutual,@nm_news,,,John E. Schlifske,Chairman & Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,http://www.northwesternmutual.com,24
105,Enterprise Products Partners,@EPROD_Careers,,EPD,A. James Teague,Chairman & Chief Executive Officer,Energy,Pipelines,Houston,http://www.enterpriseproducts.com,13
106,Travelers Cos.,@travelers,,TRV,Alan D. Schnitzer,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),New York City,http://www.travelers.com,24
107,Hewlett Packard Enterprise,@hpe_es,,HPE,Antonio Neri,"President, Chief Executive Officer & Director",Technology,"Computers, Office Equipment","Palo Alto, Calif.",http://www.hpe.com,2
108,Philip Morris International,@insidepmi,,PM,Andre Calantzopoulos,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Tobacco,New York City,http://www.pmi.com,10
109,Twenty-First Century Fox,@21cf,,FOXA,James R. Murdoch,Chief Executive Officer & Director,Media,Entertainment,New York City,http://www.21cf.com,14
110,AbbVie,@abbvie,,ABBV,Richard A. Gonzalez,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,"North Chicago, Ill.",http://www.abbvie.com,5
111,Abbott Laboratories,@abbottnews,,ABT,Miles D. White,Chairman & Chief Executive Officer,Health Care,Medical Products and Equipment,"Abbott Park, Ill.",http://www.abbott.com,24
112,Progressive,@Progressive,,PGR,Susan Patricia Griffith,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, Ohio",http://www.progressive.com,24
113,Arrow Electronics,@ArrowGlobal,,ARW,Michael J. Long,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, Colo.",http://www.arrow.com,24
114,Kraft Heinz,@KraftHeinzCo,,KHC,Bernardo Hees,Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,Pittsburgh,http://www.kraftheinzcompany.com,24
115,Plains GP Holdings,n/a ,,PAGP,Greg L. Armstrong,Chairman & Chief Executive Officer,Energy,Pipelines,Houston,http://www.plainsallamerican.com,5
116,Gilead Sciences,@gileadsciences,,GILD,John F. Milligan IV,"President, Chief Executive Officer & Director",Health Care,Pharmaceuticals,"Foster City, Calif.",http://www.gilead.com,10
117,Mondelez International,@MDLZ,,MDLZ,Dirk Van de Put,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, Ill.",http://www.mondelezinternational.com,11
118,Northrop Grumman,@northropgrumman,,NOC,Wesley G. Bush,Chairman & Chief Executive Officer,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",http://www.northropgrumman.com,24
119,Raytheon,@Raytheon,,RTN,Thomas A. Kennedy,Chairman & Chief Executive Officer,Aerospace & Defense,Aerospace and Defense,"Waltham, Mass.",http://www.raytheon.com,24
120,Macy’s,@macys,,M,Jeffrey Gennette,Chairman & Chief Executive Officer,Retailing,General Merchandisers,Cincinnati,http://www.macysinc.com,24
121,US Foods Holding,@usfoods,,USFD,Pietro Satriano,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,"Rosemont, Ill.",http://www.usfoods.com,7
122,U.S. Bancorp,@usbank,,USB,Andrew J. Cecere,"President, Chief Executive Officer & Director",Financials,Commercial Banks,Minneapolis,http://www.usbank.com,20
123,Dollar General,@DollarGeneral,,DG,Todd J. Vasos,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Goodlettsville, Tenn.",http://www.dollargeneral.com,20
124,International Paper,@intlpaperco,,IP,Mark S. Sutton,Chairman & Chief Executive Officer,Materials,"Packaging, Containers",Memphis,http://www.internationalpaper.com,24
125,Duke Energy,@dukeenergy,,DUK,Lynn J. Good,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Charlotte, N.C.",http://www.duke-energy.com,24
126,Southern,@southerncompany,,SO,Thomas A. Fanning,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,Atlanta,http://www.southerncompany.com,24
127,Marriott International,@marriott,,MAR,Arne M. Sorenson,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Bethesda, Md.",http://www.marriott.com,20
128,Avnet,@Avnet,,AVT,William J. Amelio,Chief Executive Officer & Director,Wholesalers,Wholesalers: Electronics and Office Equipment,Phoenix,http://www.avnet.com,24
129,Eli Lilly,@LillyPad,,LLY,David A. Ricks,"Chairman, President & Chief Executive Officer",Health Care,Pharmaceuticals,Indianapolis,http://www.lilly.com,24
130,Amgen,@Amgen,,AMGN,Robert A. Bradway,"Chairman, President & Chief Executive Officer",Health Care,Pharmaceuticals,"Thousand Oaks, Calif.",http://www.amgen.com,19
131,McDonald’s,@McDonalds,,MCD,Stephen J. Easterbrook,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure",Food Services,"Oak Brook, Ill.",http://www.aboutmcdonalds.com,24
132,Starbucks,@Starbucks,,SBUX,Keven R. Johnson,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure",Food Services,Seattle,http://www.starbucks.com,16
133,Qualcomm,@qualcomm_latam,,QCOM,Steven M. Mollenkopf,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,San Diego,http://www.qualcomm.com,19
134,Dollar Tree,@dollartree,,DLTR,Gary M. Philbin,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Chesapeake, Va.",http://www.dollartree.com,10
135,PBF Energy,n/a ,,PBF,Thomas J. Nimbley,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"Parsippany, N.J.",http://www.pbfenergy.com,6
136,Icahn Enterprises,@Carl_C_Icahn,,IEP,Keith Cozza,"President, Chief Executive Officer & Director",Financials,Diversified Financials,New York City,http://www.ielp.com,10
137,Aflac,@aflac,,AFL,Daniel P. Amos,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","Columbus, Ga.",http://www.aflac.com,24
138,AutoNation,@autonation,,AN,Michael J. Jackson,"Chairman, President & Chief Executive Officer",Retailing,"Automotive Retailing, Services","Fort Lauderdale, Fla.",http://www.autonation.com,21
139,Penske Automotive Group,@penskesocial,,PAG,Roger S. Penske,Chairman & Chief Executive Officer,Retailing,"Automotive Retailing, Services","Bloomfield Hills, Mich.",http://www.penskeautomotive.com,20
